"country_name","month","deaths_on_last_day"
"Afghanistan","2020-05","249.0"
"Afghanistan","2020-06","733.0"
"Afghanistan","2020-07","1271.0"
"Afghanistan","2020-08","1402.0"
"Afghanistan","2020-09","1458.0"
"Albania","2020-05","33.0"
"Albania","2020-06","58.0"
"Albania","2020-07","154.0"
"Albania","2020-08","280.0"
"Albania","2020-09","384.0"
"Algeria","2020-05","646.0"
"Algeria","2020-06","905.0"
"Algeria","2020-07","1200.0"
"Algeria","2020-08","1501.0"
"Algeria","2020-09","1726.0"
"Andorra","2020-05","51.0"
"Andorra","2020-06","52.0"
"Andorra","2020-07","52.0"
"Andorra","2020-08","53.0"
"Andorra","2020-09","53.0"
"Angola","2020-05","4.0"
"Angola","2020-06","11.0"
"Angola","2020-07","48.0"
"Angola","2020-08","107.0"
"Angola","2020-09","179.0"
"Anguilla","2020-05","0.0"
"Anguilla","2020-06","0.0"
"Anguilla","2020-07","0.0"
"Anguilla","2020-08","0.0"
"Anguilla","2020-09","0.0"
"Antigua and Barbuda","2020-05","3.0"
"Antigua and Barbuda","2020-06","3.0"
"Antigua and Barbuda","2020-07","3.0"
"Antigua and Barbuda","2020-08","3.0"
"Antigua and Barbuda","2020-09","3.0"
"Argentina","2020-05","528.0"
"Argentina","2020-06","1280.0"
"Argentina","2020-07","3311.0"
"Argentina","2020-08","8401.0"
"Argentina","2020-09","16519.0"
"Armenia","2020-05","131.0"
"Armenia","2020-06","443.0"
"Armenia","2020-07","738.0"
"Armenia","2020-08","877.0"
"Armenia","2020-09","958.0"
"Aruba","2020-05","3.0"
"Aruba","2020-06","3.0"
"Aruba","2020-07","3.0"
"Aruba","2020-08","10.0"
"Aruba","2020-09","26.0"
"Australia","2020-05","102.0"
"Australia","2020-06","104.0"
"Australia","2020-07","189.0"
"Australia","2020-08","611.0"
"Australia","2020-09","882.0"
"Austria","2020-05","668.0"
"Austria","2020-06","703.0"
"Austria","2020-07","718.0"
"Austria","2020-08","733.0"
"Austria","2020-09","796.0"
"Azerbaijan","2020-05","61.0"
"Azerbaijan","2020-06","206.0"
"Azerbaijan","2020-07","441.0"
"Azerbaijan","2020-08","531.0"
"Azerbaijan","2020-09","590.0"
"Bahamas","2020-05","11.0"
"Bahamas","2020-06","11.0"
"Bahamas","2020-07","14.0"
"Bahamas","2020-08","43.0"
"Bahamas","2020-09","91.0"
"Bahrain","2020-05","17.0"
"Bahrain","2020-06","84.0"
"Bahrain","2020-07","146.0"
"Bahrain","2020-08","189.0"
"Bahrain","2020-09","246.0"
"Bangladesh","2020-05","610.0"
"Bangladesh","2020-06","1783.0"
"Bangladesh","2020-07","3083.0"
"Bangladesh","2020-08","4248.0"
