"state_name","month","total_cases","total_deaths"
"Alabama","2020-03","6129.0","42.0"
"Alabama","2020-04","125166.0","4044.0"
"Alabama","2020-05","372033.0","14438.0"
"Alabama","2020-06","800287.0","23697.0"
"Alabama","2020-07","1918336.0","38436.0"
"Alabama","2020-08","3355858.0","58883.0"
"Alabama","2020-09","4072597.0","68879.0"
"Alaska","2020-03","851.0","8.0"
"Alaska","2020-04","8231.0","173.0"
"Alaska","2020-05","12256.0","243.0"
"Alaska","2020-06","23003.0","291.0"
"Alaska","2020-07","67633.0","496.0"
"Alaska","2020-08","154871.0","843.0"
"Alaska","2020-09","211526.0","1213.0"
"Arizona","2020-01","6.0","0.0"
"Arizona","2020-02","29.0","0.0"
"Arizona","2020-03","6830.0","118.0"
"Arizona","2020-04","128668.0","4870.0"
"Arizona","2020-05","417110.0","19864.0"
"Arizona","2020-06","1297231.0","37510.0"
"Arizona","2020-07","4105142.0","79906.0"
"Arizona","2020-08","5951480.0","138063.0"
"Arizona","2020-09","6102057.0","155769.0"
"Arkansas","2020-03","3965.0","36.0"
"Arkansas","2020-04","53571.0","1007.0"
"Arkansas","2020-05","150100.0","3137.0"
"Arkansas","2020-06","402154.0","5895.0"
"Arkansas","2020-07","972426.0","10829.0"
"Arkansas","2020-08","1633930.0","19077.0"
"Arkansas","2020-09","2089575.0","31180.0"
"California","2020-01","14.0","0.0"
"California","2020-02","285.0","0.0"
"California","2020-03","55406.0","1113.0"
"California","2020-04","865585.0","30176.0"
"California","2020-05","2476264.0","99379.0"
"California","2020-06","4905111.0","155690.0"
"California","2020-07","1.1404982E7","232621.0"
"California","2020-08","1.9168697E7","349458.0"
"California","2020-09","2.2336693E7","422413.0"
"Colorado","2020-03","18603.0","344.0"
"Colorado","2020-04","264026.0","11715.0"
"Colorado","2020-05","660633.0","35594.0"
"Colorado","2020-06","886415.0","48035.0"
"Colorado","2020-07","1215655.0","54290.0"
"Colorado","2020-08","1642292.0","58799.0"
"Colorado","2020-09","1838027.0","58210.0"
"Commonwealth of the Northern Mariana Islands","2020-03","8.0","0.0"
"Commonwealth of the Northern Mariana Islands","2020-04","355.0","54.0"
"Commonwealth of the Northern Mariana Islands","2020-05","589.0","62.0"
"Commonwealth of the Northern Mariana Islands","2020-06","862.0","60.0"
"Commonwealth of the Northern Mariana Islands","2020-07","1100.0","62.0"
"Commonwealth of the Northern Mariana Islands","2020-08","1578.0","62.0"
"Commonwealth of the Northern Mariana Islands","2020-09","1823.0","58.0"
"Connecticut","2020-03","14606.0","283.0"
"Connecticut","2020-04","467204.0","29752.0"
"Connecticut","2020-05","1124193.0","101014.0"
"Connecticut","2020-06","1348657.0","125398.0"
"Connecticut","2020-07","1483675.0","135762.0"
"Connecticut","2020-08","1585462.0","138000.0"
"Connecticut","2020-09","1593774.0","130058.0"
"Delaware","2020-03","1887.0","31.0"
"Delaware","2020-04","67480.0","1840.0"
"Delaware","2020-05","229386.0","8381.0"
"Delaware","2020-06","312601.0","13062.0"
"Delaware","2020-07","410198.0","16554.0"
"Delaware","2020-08","503506.0","18439.0"
"Delaware","2020-09","551522.0","17936.0"
"District of Columbia","2020-03","2923.0","41.0"
"District of Columbia","2020-04","70950.0","2651.0"
"District of Columbia","2020-05","215106.0","11296.0"
"District of Columbia","2020-06","291828.0","15437.0"
"District of Columbia","2020-07","345436.0","17731.0"
"District of Columbia","2020-08","407849.0","18495.0"
"District of Columbia","2020-09","425975.0","17889.0"
"Florida","2020-03","35597.0","489.0"
"Florida","2020-04","671158.0","19495.0"
"Florida","2020-05","1396018.0","59664.0"
"Florida","2020-06","2637626.0","89605.0"
"Florida","2020-07","9746638.0","149112.0"
"Florida","2020-08","1.746988E7","287667.0"
"Florida","2020-09","1.9401728E7","371400.0"
"Georgia","2020-03","22119.0","699.0"
"Georgia","2020-04","453331.0","18051.0"
"Georgia","2020-05","1109472.0","48939.0"
"Georgia","2020-06","1734682.0","73197.0"
"Georgia","2020-07","3794129.0","96401.0"
"Georgia","2020-08","6755964.0","142202.0"
"Georgia","2020-09","8126404.0","181400.0"
"Guam","2020-03","594.0","11.0"
"Guam","2020-04","20795.0","156.0"
"Guam","2020-05","34932.0","186.0"
"Guam","2020-06","35170.0","180.0"
"Guam","2020-07","39876.0","186.0"
"Guam","2020-08","51043.0","222.0"
"Guam","2020-09","84474.0","807.0"
"Hawaii","2020-03","1474.0","1.0"
"Hawaii","2020-04","14988.0","274.0"
"Hawaii","2020-05","19430.0","525.0"
"Hawaii","2020-06","22303.0","514.0"
"Hawaii","2020-07","41333.0","673.0"
"Hawaii","2020-08","156872.0","1257.0"
"Hawaii","2020-09","315141.0","3011.0"
"Idaho","2020-03","2359.0","34.0"
"Idaho","2020-04","45937.0","1098.0"
"Idaho","2020-05","75057.0","2266.0"
"Idaho","2020-06","116842.0","2628.0"
"Idaho","2020-07","412314.0","3800.0"
"Idaho","2020-08","848552.0","8590.0"
"Idaho","2020-09","1064058.0","12263.0"
"Illinois","2020-01","10.0","0.0"
"Illinois","2020-02","59.0","0.0"
"Illinois","2020-03","33167.0","450.0"
"Illinois","2020-04","802337.0","32642.0"
"Illinois","2020-05","2822196.0","125228.0"
"Illinois","2020-06","4025869.0","195076.0"
"Illinois","2020-07","4987937.0","230706.0"
"Illinois","2020-08","6477545.0","247518.0"
"Illinois","2020-09","7770456.0","249385.0"
"Indiana","2020-03","10152.0","313.0"
"Indiana","2020-04","292473.0","16218.0"
"Indiana","2020-05","857247.0","52744.0"
"Indiana","2020-06","1241303.0","73069.0"
"Indiana","2020-07","1745006.0","86855.0"
"Indiana","2020-08","2546792.0","97177.0"
"Indiana","2020-09","3167844.0","100284.0"
"Iowa","2020-03","2794.0","26.0"
"Iowa","2020-04","83724.0","1947.0"
"Iowa","2020-05","441186.0","10769.0"
"Iowa","2020-06","731691.0","19631.0"
"Iowa","2020-07","1152156.0","24212.0"
"Iowa","2020-08","1651099.0","30669.0"
"Iowa","2020-09","2223686.0","35858.0"
"Kansas","2020-03","2408.0","60.0"
"Kansas","2020-04","55555.0","2241.0"
"Kansas","2020-05","241100.0","5676.0"
"Kansas","2020-06","355114.0","7457.0"
"Kansas","2020-07","663964.0","9654.0"
"Kansas","2020-08","1086757.0","12644.0"
"Kansas","2020-09","1493490.0","16130.0"
"Kentucky","2020-03","3398.0","84.0"
"Kentucky","2020-04","74780.0","3889.0"
"Kentucky","2020-05","234711.0","10848.0"
"Kentucky","2020-06","389689.0","15726.0"
"Kentucky","2020-07","694134.0","20877.0"
"Kentucky","2020-08","1272814.0","26308.0"
"Kentucky","2020-09","1800541.0","32041.0"
"Louisiana","2020-03","28913.0","1137.0"
"Louisiana","2020-04","625639.0","32872.0"
"Louisiana","2020-05","1061231.0","75798.0"
"Louisiana","2020-06","1436753.0","91082.0"
"Louisiana","2020-07","2696554.0","109304.0"
"Louisiana","2020-08","4228513.0","139101.0"
"Louisiana","2020-09","4610476.0","152430.0"
"Maine","2020-03","2110.0","13.0"
"Maine","2020-04","22358.0","843.0"
"Maine","2020-05","52158.0","2180.0"
"Maine","2020-06","84057.0","3010.0"
"Maine","2020-07","112034.0","3546.0"
"Maine","2020-08","129919.0","3951.0"
"Maine","2020-09","143011.0","3967.0"
"Maryland","2020-03","8831.0","84.0"
"Maryland","2020-04","327492.0","13760.0"
"Maryland","2020-05","1190664.0","59244.0"
"Maryland","2020-06","1867000.0","88044.0"
"Maryland","2020-07","2391813.0","103834.0"
"Maryland","2020-08","3103859.0","112721.0"
"Maryland","2020-09","3407537.0","111720.0"
"Massachusetts","2020-02","29.0","0.0"
"Massachusetts","2020-03","34418.0","340.0"
"Massachusetts","2020-04","977699.0","42952.0"
"Massachusetts","2020-05","2582585.0","170827.0"
"Massachusetts","2020-06","3164865.0","228975.0"
"Massachusetts","2020-07","3498717.0","259483.0"
"Massachusetts","2020-08","3824563.0","273880.0"
"Massachusetts","2020-09","3653577.0","267897.0"
"Michigan","2020-03","39225.0","967.0"
"Michigan","2020-04","818293.0","59519.0"
"Michigan","2020-05","1558908.0","148969.0"
