"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"Alabama","2021-03-08T00:00:00.000","60840","60840"
"American Samoa","2021-03-08T00:00:00.000","0","0"
"Arizona","2021-03-08T00:00:00.000","85410","85410"
"Arkansas","2021-03-08T00:00:00.000","37440","37440"
"California","2021-03-08T00:00:00.000","479700","479700"
"Chicago","2021-03-08T00:00:00.000","33930","33930"
"Colorado","2021-03-08T00:00:00.000","69030","69030"
"Connecticut","2021-03-08T00:00:00.000","45630","45630"
"Delaware","2021-03-08T00:00:00.000","12870","12870"
"District of Columbia","2021-03-08T00:00:00.000","9360","9360"
"Florida","2021-03-08T00:00:00.000","262080","262080"
"Georgia","2021-03-08T00:00:00.000","125190","125190"
"Guam","2021-03-08T00:00:00.000","0","0"
"Hawaii","2021-03-08T00:00:00.000","18720","18720"
"Illinois","2021-03-08T00:00:00.000","125190","125190"
"Indiana","2021-03-08T00:00:00.000","80730","80730"
"Iowa","2021-03-08T00:00:00.000","38610","38610"
"Kansas","2021-03-08T00:00:00.000","35100","35100"
"Kentucky","2021-03-08T00:00:00.000","54990","54990"
"Louisiana","2021-03-08T00:00:00.000","57330","57330"
"Maine","2021-03-08T00:00:00.000","17550","17550"
"Marshall Islands","2021-03-08T00:00:00.000","0","0"
"Maryland","2021-03-08T00:00:00.000","74880","74880"
"Massachusetts","2021-03-08T00:00:00.000","87750","87750"
"Michigan","2021-03-08T00:00:00.000","124020","124020"
"Minnesota","2021-03-08T00:00:00.000","67860","67860"
"Mississippi","2021-03-08T00:00:00.000","36270","36270"
"Missouri","2021-03-08T00:00:00.000","76050","76050"
"Montana","2021-03-08T00:00:00.000","14040","14040"
"Nebraska","2021-03-08T00:00:00.000","23400","23400"
"Nevada","2021-03-08T00:00:00.000","36270","36270"
"New Hampshire","2021-03-08T00:00:00.000","17550","17550"
"New Jersey","2021-03-08T00:00:00.000","111150","111150"
"New Mexico","2021-03-08T00:00:00.000","25740","25740"
"New York","2021-03-08T00:00:00.000","140400","140400"
"New York City","2021-03-08T00:00:00.000","106470","106470"
"North Carolina","2021-03-08T00:00:00.000","126360","126360"
"North Dakota","2021-03-08T00:00:00.000","10530","10530"
"Ohio","2021-03-08T00:00:00.000","143910","143910"
"Oklahoma","2021-03-08T00:00:00.000","47970","47970"
"Pennsylvania","2021-03-08T00:00:00.000","141570","141570"
"Philadelphia","2021-03-08T00:00:00.000","19890","19890"
"Puerto Rico","2021-03-08T00:00:00.000","43290","43290"
"Rhode Island","2021-03-08T00:00:00.000","14040","14040"
"South Carolina","2021-03-08T00:00:00.000","62010","62010"
"South Dakota","2021-03-08T00:00:00.000","10530","10530"
"Tennessee","2021-03-08T00:00:00.000","83070","83070"
"Texas","2021-03-08T00:00:00.000","328770","328770"
"U.S. Virgin Islands","2021-03-08T00:00:00.000","2340","2340"
"Utah","2021-03-08T00:00:00.000","35100","35100"
"Vermont","2021-03-08T00:00:00.000","8190","8190"
"Virginia","2021-03-08T00:00:00.000","105300","105300"
"West Virginia","2021-03-08T00:00:00.000","23400","23400"
"Wisconsin","2021-03-08T00:00:00.000","72540","72540"
"Wyoming","2021-03-08T00:00:00.000","8190","8190"
"Alabama","2021-03-15T00:00:00.000","65520","65520"
"Alaska","2021-03-15T00:00:00.000","0","0"
"American Samoa","2021-03-15T00:00:00.000","0","0"
"Arizona","2021-03-15T00:00:00.000","92430","92430"
"Arkansas","2021-03-15T00:00:00.000","39780","39780"
"California","2021-03-15T00:00:00.000","515970","515970"
"Chicago","2021-03-15T00:00:00.000","36270","36270"
"Colorado","2021-03-15T00:00:00.000","73710","73710"
"Connecticut","2021-03-15T00:00:00.000","49140","49140"
"Delaware","2021-03-15T00:00:00.000","12870","12870"
"District of Columbia","2021-03-15T00:00:00.000","10530","10530"
"Federal Entities","2021-03-15T00:00:00.000","182520","182520"
"Florida","2021-03-15T00:00:00.000","281970","281970"
"Georgia","2021-03-15T00:00:00.000","134550","134550"
"Guam","2021-03-15T00:00:00.000","0","0"
"Hawaii","2021-03-15T00:00:00.000","19890","19890"
"Idaho","2021-03-15T00:00:00.000","22230","22230"
"Illinois","2021-03-15T00:00:00.000","134550","134550"
"Indiana","2021-03-15T00:00:00.000","87750","87750"
