"hq_state","total_staffed_beds"
"CA","75270"
"TX","71942"
"FL","54873"
"NY","47246"
"PA","37876"
"OH","34360"
"IL","32156"
"NC","24383"
"MI","24152"
"GA","23720"
"NJ","21191"
"MO","19706"
"MA","19335"
"VA","18723"
"TN","18625"
"LA","17678"
"IN","17636"
"AZ","16006"
"AL","15054"
"WA","13905"
"WI","13568"
"KY","12960"
"MN","12388"
"SC","12339"
"OK","12197"
"MS","11346"
"MD","11256"
"CO","11177"
"AR","9936"
"KS","8802"
"OR","8186"
"IA","7980"
"CT","7961"
"NV","7590"
"PR","7078"
"WV","6301"
"UT","5786"
"NE","5607"
"NM","4444"
"HI","3457"
"ID","3428"
"DC","3300"
"ME","3144"
"MT","3105"
"RI","3008"
"SD","2928"
"ND","2875"
"NH","2865"
"DE","2696"
"AK","1675"
"WY","1631"
"VT","1198"
"GU","295"
"VI","184"
"AS","120"
"MP","74"
